omega,iterations
0.01,1000
0.01662207357859532,1000
0.023244147157190635,1000
0.029866220735785952,917
0.03648829431438127,766
0.04311036789297659,658
0.04973244147157191,578
0.056354515050167225,515
0.06297658862876254,465
0.06959866220735786,424
0.07622073578595318,389
0.08284280936454849,360
0.08946488294314381,334
0.09608695652173913,312
0.10270903010033444,292
0.10933110367892976,275
0.11595317725752508,259
0.12257525083612039,245
0.1291973244147157,232
0.13581939799331105,220
0.14244147157190637,210
0.1490635451505017,201
0.155685618729097,193
0.16230769230769232,185
0.16892976588628764,178
0.17555183946488295,171
0.18217391304347827,165
0.18879598662207359,159
0.1954180602006689,154
0.20204013377926422,149
0.20866220735785954,144
0.21528428093645485,139
0.22190635451505017,134
0.22852842809364549,130
0.2351505016722408,126
0.24177257525083612,123
0.24839464882943144,120
0.25501672240802675,117
0.2616387959866221,114
0.2682608695652174,111
0.27488294314381273,109
0.281505016722408,106
0.28812709030100336,104
0.29474916387959865,102
0.301371237458194,100
0.3079933110367893,98
0.31461538461538463,96
0.3212374581939799,95
0.32785953177257526,93
0.33448160535117055,92
0.3411036789297659,90
0.3477257525083612,89
0.35434782608695653,87
0.3609698996655518,85
0.36759197324414716,84
0.37421404682274245,83
0.3808361204013378,82
0.3874581939799331,82
0.39408026755852843,81
0.4007023411371237,80
0.40732441471571906,79
0.41394648829431435,79
0.4205685618729097,78
0.427190635451505,77
0.43381270903010033,76
0.4404347826086957,75
0.44705685618729096,74
0.4536789297658863,74
0.4603010033444816,73
0.46692307692307694,73
0.47354515050167223,73
0.4801672240802676,72
0.48678929765886286,72
0.4934113712374582,72
0.5000334448160535,72
0.5066555183946488,71
0.5132775919732442,70
0.5198996655518394,70
0.5265217391304348,70
0.5331438127090301,70
0.5397658862876255,70
0.5463879598662207,70
0.553010033444816,70
0.5596321070234114,70
0.5662541806020067,70
0.572876254180602,69
0.5794983277591973,69
0.5861204013377926,69
0.592742474916388,69
0.5993645484949832,69
0.6059866220735786,69
0.6126086956521739,70
0.6192307692307693,70
0.6258528428093645,70
0.6324749163879598,69
0.6390969899665552,69
0.6457190635451505,70
0.6523411371237459,70
0.6589632107023411,70
0.6655852842809364,71
0.6722073578595318,71
0.6788294314381271,71
0.6854515050167224,71
0.6920735785953177,71
0.698695652173913,72
0.7053177257525084,72
0.7119397993311036,73
0.718561872909699,73
